景区名称,城市,入度,出度,度数
龙门浩老街,南岸区,37,36,73
筒子楼,南岸区,34,27,61
下浩老街,南岸区,24,24,48
壹华里,南岸区,21,15,36
洋人街,南岸区,16,14,30
朝天门长江大桥,南岸区,11,9,20
重庆抗战遗址博物馆,南岸区,8,6,14
黄桷湾立交桥,南岸区,7,5,12
苏家坝立交桥,南岸区,4,3,7
重庆加勒比海水世界景区,南岸区,2,1,3
重庆市广益中学校园景区,南岸区,1,1,2
黄山蒋介石官邸,南岸区,1,1,2
阆中古城,南充市,9,17,26
保宁醋文化博览园旅游景区,南充市,6,4,10
南津关古镇,南充市,6,3,9
阆中文庙,南充市,4,4,8
阆中天宫院风水文化景区,南充市,3,2,5
清代四川贡院,南充市,2,2,4
南充市凌云山景区,南充市,2,1,3
阊中市天林乡五龙度假区,南充市,1,1,2
高坪区鹤鸣山旅游景区,南充市,0,1,1
阖中市红军烈士纪念园,南充市,1,0,1
重庆南川金佛山景区,南川区,24,31,55
山王坪,南川区,9,4,13
市中区黄鹤湖旅游区,内江市,1,1,2
内江市隆昌县石牌坊旅游区,内江市,2,0,2
奥陶纪,綦江区,84,92,176
重庆万盛黑山谷景区,綦江区,45,29,74
净音寺,綦江区,9,8,17
重庆綦江博物馆,綦江区,7,9,16
重庆綦江古剑山风景区,綦江区,3,9,12
重庆綦江石壕红军烈士墓,綦江区,6,4,10
农民版画院,綦江区,8,2,10
重庆渝中嘉西村—怡园景区,綦江区,5,4,9
重庆綦江国家地质公园老瀛山景区,綦江区,4,5,9
重庆巅峰乐园,綦江区,1,1,2
重庆黔江濯水古镇,黔江区,9,11,20
蒲花暗河,黔江区,8,5,13
重庆黔江小南海旅游景区,黔江区,6,5,11
重庆黔江芭拉胡景区,黔江区,4,5,9
重庆市黔江神龟峡景区,黔江区,2,2,4
重庆黔江土家十三寨,黔江区,1,1,2
重庆荣昌万灵古镇,荣昌区,7,19,26
重庆荣昌夏布小镇景区,荣昌区,16,6,22
重庆荣昌安陶博物馆,荣昌区,9,6,15
昌州故里,荣昌区,0,1,1
重庆磁器口古镇,沙坪坝区,408,402,810
渣滓洞,沙坪坝区,120,120,240
白公馆,沙坪坝区,113,110,223
罗中立美术馆,沙坪坝区,38,32,70
石井坡,沙坪坝区,21,16,37
重庆大学,沙坪坝区,19,13,32
红岩魂陈列馆,沙坪坝区,12,10,22
重庆歌乐山森林公园,沙坪坝区,7,7,14
遂宁市龙凤景区,遂宁市,4,6,10
观音湖湿地公园旅游景区,遂宁市,6,2,8
世界荷花博览园,遂宁市,4,3,7
遂宁市中国死海旅游度假区,遂宁市,2,4,6
遂宁市中国观音故里旅游区,遂宁市,2,3,5
遂宁市中华侏罗纪探秘旅游区,遂宁市,2,2,4
子昂故里文化旅游区,遂宁市,2,2,4
重庆铜梁黄桷门奇彩梦园,铜梁区,5,5,10
重庆铜梁安居古城,铜梁区,3,6,9
巴岳山,铜梁区,5,2,7
重庆铜梁玄天湖景区,铜梁区,4,3,7
荷和原乡,铜梁区,1,2,3
重庆铜梁邱少云烈士纪念馆,铜梁区,0,1,1
重庆潼南大佛寺,潼南区,4,3,7
重庆潼南双江古镇景区,潼南区,4,3,7
重庆市潼南区陈抟故里景区,潼南区,2,2,4
重庆潼南杨闇公故里景区,潼南区,1,1,2
重庆三峡移民纪念馆,万州区,4,3,7
重庆九龙坡九凤山景区,万州区,2,2,4
重庆万州大瀑布群旅游区,万州区,1,0,1
重庆万州西山公园,万州区,0,1,1
锦里,成都市,344,350,694
碧峰峡旅游景区,雅安市,9,11,20
雅安蒙顶山旅游景区,雅安市,3,4,7
龙苍沟叠翠溪景区,雅安市,2,2,4
上里古镇,雅安市,2,2,4
雅安市名山区牛碾坪景区,雅安市,1,2,3
石棉县安顺场景区,雅安市,1,0,1
雅安喇叭河森林公园,雅安市,0,1,1
雅安市名山区月亮湖景区,雅安市,1,0,1
雅安周公山森林公园,雅安市,1,0,1
宜宾市蜀南竹海风景名胜区,宜宾市,6,9,15
五粮液旅游景区,宜宾市,6,8,14
翠屏区翠屏山景区,宜宾市,2,2,4
宜宾市李庄古镇,宜宾市,2,2,4
珙县石板溪娃娃鱼生态园,宜宾市,2,1,3
锦屏山3A级景区,宜宾市,2,0,2
苦竹?天泉景区,宜宾市,2,0,2
宜宾市流杯池公园,宜宾市,1,1,2
天池公园景区,宜宾市,1,1,2
宜宾高县胜天红岩山旅游景区,宜宾市,0,1,1
重庆永川茶山竹海旅游景区,永川区,5,4,9
重庆乐和乐都景区,永川区,3,4,7
重庆永川松溉古镇,永川区,1,1,2
重庆两江国际影视城,渝北区,14,19,33
重庆园博园,渝北区,16,11,27
川剧院,渝北区,5,4,9
重庆渝北龙兴古镇景区,渝北区,5,4,9
重庆统景温泉风景区,渝北区,5,4,9
重庆欢乐谷景区,渝北区,4,4,8
重庆际华园景区,渝北区,2,1,3
重庆渝北放牛坪景区,渝北区,1,1,2
老君山,渝北区,1,1,2
重庆渝北印盒李花生态旅游区,渝北区,1,0,1
重庆洪崖洞民俗风貌区,渝中区,564,714,1278
解放碑,渝中区,499,687,1186
李子坝轻轨,渝中区,391,397,788
重庆长江索道景区,渝中区,366,370,736
来福士广场,渝中区,339,341,680
重庆鹅岭公园,渝中区,275,260,535
千厮门大桥,渝中区,267,233,500
八一路好吃街,渝中区,160,130,290
皇冠大扶梯,渝中区,133,129,262
重庆中国三峡博物馆,渝中区,110,102,212
山城步道,渝中区,109,101,210
重庆人民大礼堂及人民广场,渝中区,102,102,204
重庆湖广会馆,渝中区,89,80,169
十八梯,渝中区,73,72,145
中山四路,渝中区,66,71,137
罗汉寺,渝中区,54,50,104
周公馆,渝中区,47,43,90
桂园,渝中区,43,40,83
国泰艺术中心,渝中区,44,35,79
魁星楼,渝中区,41,38,79
佛图关公园,渝中区,39,34,73
重庆美术馆,渝中区,33,30,63
重庆会仙楼,渝中区,20,17,37
重庆宋庆龄旧居陈列馆,渝中区,19,18,37
特园,渝中区,19,18,37
重庆白象街,渝中区,13,12,25
重庆红岩革命纪念馆,渝中区,10,12,22
重庆歌乐山烈士陵园,渝中区,11,9,20
重庆中国民主党派历史陈列馆景区,渝中区,11,9,20
洞亭火锅,渝中区,7,6,13
李子坝公园,渝中区,6,7,13
曾家岩书院,渝中区,6,6,12
重庆关岳庙,渝中区,6,5,11
南滨公园,渝中区,6,5,11
史迪威博物馆,渝中区,4,4,8
重庆大韩民国临时政府旧址陈列馆,渝中区,3,3,6
中兴路旧货交易,渝中区,3,3,6
通远门城墙遗址,渝中区,2,2,4
重庆市规划展览馆,渝中区,2,2,4
云端之眼观景台,渝中区,1,1,2
重庆枇杷山,渝中区,26,19,45
重庆云阳龙缸景区,云阳县,10,7,17
重庆云阳张飞庙,云阳县,8,7,15
重庆云阳三峡梯城景区,云阳县,2,2,4
重庆云阳县四方井公园景区,云阳县,1,1,2
重庆长寿菩提古镇文化旅游区,长寿区,2,3,5
长寿古镇,长寿区,3,2,5
重庆长寿湖旅游区,长寿区,2,1,3
重庆长寿菩提山文化旅游区,长寿区,1,1,2
重庆忠县石宝寨,忠县,13,11,24
重庆忠县白公祠文博景区,忠县,1,1,2
烽烟三国,忠县,1,0,1
安岳石窟.卧佛院,资阳市,1,1,2
资阳市安岳石刻?圆觉洞景区,资阳市,1,1,2
自贡市燊海井景区,自贡市,5,5,10
三多古寨景区,自贡市,4,4,8
牛佛古镇景区,自贡市,4,3,7
自贡恐龙博物馆,自贡市,2,4,6
玫瑰海,自贡市,2,3,5
中国彩灯博物馆,自贡市,1,2,3
自贡盐业历史博物馆,自贡市,1,2,3
中华彩灯大世界,自贡市,2,0,2
